,0,1,2,3
1516,0.785384,-0.729714,10.32736,1
1530,0.405281,-3.558914,22.098118,1
1547,-1.083664,-2.602229,-7.845904,1
1609,0.295138,0.949617,9.73177,0
1553,2.218908,1.7726,-2.949858,1
44,0.37,-0.26,10.0,0
599,0.456172,-1.185369,9.913279,0
168,6.54,0.98,3.43,1
303,-0.204053,-0.953735,9.687457,0
306,-0.195386,-0.929659,10.078612,0
1797,0.366389,0.232726,9.990161,0
1922,0.387468,0.25799,9.958998,0
694,0.471495,-1.162481,9.897161,0
1210,-0.041305,-1.52458,9.409519,0
712,0.948554,-0.707975,10.244022,0
1362,0.113274,-1.623374,9.823467,0
1902,0.37927,0.249438,9.987173,0
614,0.444575,-1.182238,9.914418,0
414,-1.083846,0.628315,10.168701,1
1255,0.097329,-1.603723,9.770987,0
1061,0.066741,-0.473324,9.95985,0
185,5.72,-3.44,3.91,1
619,0.4329,-1.170678,9.896863,0
834,0.318659,-2.402275,9.665526,0
1187,1.175831,-1.567398,12.471856,0
1767,0.370958,0.24169,9.977539,0
526,0.117287,-2.300598,9.819589,0
1861,0.374501,0.247599,9.957227,0
617,0.445053,-1.166005,9.910463,0
1580,-2.023771,-3.133215,20.669413,1
1962,0.319837,0.300511,9.830161,0
1907,0.380688,0.233061,9.987728,0
1536,-1.285456,2.106974,37.039745,1
1287,0.108745,-1.616843,9.806085,0
1386,0.1032,-1.624418,9.527103,0
1421,0.304753,0.450206,9.989145,0
1231,0.076413,-1.514696,9.476136,0
1921,0.372969,0.239554,9.94605,0
123,0.96,0.93,5.29,1
342,-0.294516,-0.869632,10.164756,0
535,-0.082868,-2.324626,9.669501,0
1079,-0.208343,1.121674,9.328691,0
986,0.084477,-0.437354,9.983409,0
368,-0.18443,-0.942616,9.883773,0
1626,0.314474,0.347561,9.908777,0
331,-0.197617,-0.930808,9.939432,0
782,3.104667,-3.784227,18.259045,1
194,-1.64,0.84,0.96,1
1318,0.105728,-1.629791,9.826531,0
994,0.067775,-0.429989,9.893349,0
1692,0.699126,-2.110278,9.423721,0
322,-0.197751,-0.993239,9.848223,0
1849,0.362607,0.240292,9.963078,0
266,0.45,-0.7,10.01,0
480,-1.53227,-4.834065,19.804281,1
67,0.36,-0.26,10.01,0
1822,0.37453,0.237189,9.977595,0
1366,0.112087,-1.617551,9.843981,0
1233,0.178378,-1.67461,10.067082,0
450,1.555254,-3.983492,11.699363,1
997,0.058936,-0.450024,10.014314,0
1392,0.073828,-1.562782,9.614645,0
1022,0.063102,-0.466438,9.97073,0
527,-0.043153,-2.250454,9.815154,0
1896,0.37271,0.240598,9.96936,0
1916,0.376512,0.251449,9.96915,0
1614,0.300951,0.309992,9.865739,0
1220,0.190818,-1.691906,10.032414,0
1517,-4.820696,2.962844,12.166423,1
1274,0.104885,-1.623757,9.844498,0
1511,-1.466717,0.911176,1.539395,1
1559,-0.934735,0.705437,16.312338,1
1966,0.323418,0.208746,10.323443,0
772,1.553981,-1.28084,6.235919,1
552,-0.067038,-2.361507,9.651037,0
1359,0.101773,-1.618758,9.824875,0
841,0.301181,-2.396529,9.655202,0
631,0.454343,-1.181376,9.902744,0
1473,0.067018,1.554785,10.106576,0
261,0.41,-0.69,9.96,0
494,-0.230313,-2.205922,9.518196,0
1468,1.01132,-0.359456,13.006969,0
240,0.79,-0.84,9.78,0
1949,0.405147,0.254762,9.983927,0
1292,0.115429,-1.610024,9.795425,0
1429,0.282966,0.448214,9.998129,0
1569,-1.186959,-0.174374,8.671387,1
1747,0.182572,0.291499,10.045515,0
365,-0.190492,-0.948094,9.897812,0
988,0.076155,-0.429826,9.902256,0
1223,-0.028797,-1.613156,9.834136,0
570,0.449679,-1.255845,10.076209,0
964,0.321426,-2.320977,9.586221,0
979,0.086479,-0.435237,10.076046,0
1587,-1.894589,-1.227919,6.754608,1
71,0.37,-0.25,9.99,0
764,0.892855,-0.814383,7.529697,1
259,0.46,-0.71,10.06,0
51,0.35,-0.25,10.0,0
198,3.01,-4.04,19.41,1
990,0.069087,-0.418708,10.024198,0
1644,-0.605158,2.038577,9.868603,0
332,-0.197627,-0.937368,9.921342,0
1340,0.104847,-1.6237,9.835256,0
583,0.460721,-1.149131,9.889059,0
411,-2.193654,-0.940998,10.155696,1
1870,0.376177,0.248365,9.971496,0
1518,2.183052,2.812373,13.93276,1
869,0.307779,-2.403242,9.673859,0
1391,0.064912,-1.620032,9.852245,0
679,0.459821,-1.173733,9.882163,0
1723,0.650821,0.091075,9.907111,0
1616,0.286031,0.439642,9.903031,0
572,0.444814,-1.146152,9.855694,0
948,0.300731,-2.388235,9.677977,0
1951,0.359427,0.248566,9.957609,0
433,-1.263497,-1.319885,8.155953,1
1879,0.376349,0.247206,9.954372,0
398,0.203747,-1.063706,9.819034,0
917,0.303585,-2.386425,9.660394,0
192,-0.7,-1.81,4.03,1
922,0.304504,-2.393445,9.653508,0
478,0.566612,-10.986628,1.905488,1
602,0.444191,-1.172326,9.918679,0
780,1.995921,1.287726,16.621572,1
785,0.341921,1.001868,11.159537,1
1594,0.26318,-1.41143,9.814752,0
141,-0.11,2.0,1.41,1
2,0.37,-0.18,9.69,0
1737,0.077496,0.370153,10.03137,0
1846,0.382086,0.253134,9.951404,0
1629,0.804873,0.844799,9.737745,0
339,-0.194993,-0.695851,9.133056,0
767,1.045883,-1.265872,1.608425,1
561,0.45373,-1.308766,10.151999,0
453,-1.733258,1.493771,3.371611,1
265,0.45,-0.69,9.95,0
1009,0.049282,-0.444211,9.989912,0
1679,0.830577,-0.367682,10.841242,1
438,1.369187,2.736687,10.496736,1
271,0.46,-0.7,9.89,0
184,7.76,-1.61,23.93,1
907,0.298854,-2.393206,9.667232,0
244,0.62,-0.76,10.14,0
1440,0.284249,0.457819,10.011211,0
1952,0.353576,0.247168,9.939969,0
792,0.498502,1.354505,17.986774,1
471,-2.266112,1.865687,6.40109,1
881,0.294544,-2.407897,9.653938,0
1163,-2.061379,-1.449919,3.095607,1
1608,0.188855,0.725587,10.220454,0
415,0.72845,0.508107,8.776731,1
273,0.46,-0.69,9.98,0
1302,0.115333,-1.62482,9.825248,0
1466,0.340877,1.895853,9.087768,0
1435,0.268409,0.458672,10.041157,0
250,0.32,-0.62,9.88,0
413,1.385486,0.1041,10.992863,1
1259,0.104914,-1.619275,9.82248,0
1288,0.10341,-1.628546,9.794794,0
1442,0.305376,0.446969,9.956766,0
310,-0.186642,-0.957298,9.789422,0
1422,0.322087,0.463307,9.867271,0
381,-1.150692,1.291605,9.358532,0
483,-1.280601,-2.695517,7.682763,1
425,-1.004808,0.013886,8.347959,1
1000,0.07785,-0.433935,9.930814,0
730,0.131394,-0.480689,5.919501,1
743,1.64927,0.863818,5.252352,1
1941,0.389115,0.246019,9.972607,0
408,0.031412,-0.301564,9.690005,0
1454,-0.456038,2.205845,9.716149,0
607,0.451661,-1.167346,9.934894,0
904,0.296057,-2.390859,9.651918,0
817,0.351938,-2.423679,9.599887,0
544,-0.068742,-2.359524,9.662643,0
1668,1.588266,1.390428,3.282001,1
1464,0.659986,0.830089,9.875431,0
182,5.35,-2.78,12.82,1
1058,0.072094,-0.477576,9.958931,0
1601,0.185733,-0.730586,9.752732,0
170,7.26,-1.89,27.7,1
292,-0.229144,-0.932197,10.279333,0
543,-0.06269,-2.373583,9.646019,0
1492,1.254552,1.478324,1.721354,1
300,-0.19959,-1.04641,10.169888,0
1853,0.386127,0.237026,9.963404,0
1776,0.324003,0.32045,9.576644,0
