,0,1,2,3
1954,0.401421,0.261744,9.990305,0
1268,0.10999,-1.620999,9.854582,0
1624,0.251209,0.340523,9.991492,0
1252,0.118934,-1.656606,9.921141,0
820,0.297839,-2.415893,9.675265,0
1486,0.471227,-0.674274,6.613838,1
1639,0.074402,1.165469,10.450614,0
1230,0.168772,-1.576113,9.590857,0
664,0.453127,-1.175065,9.896969,0
142,0.36,-1.27,17.38,1
1497,-1.889035,2.350972,2.356383,1
1719,0.460022,0.217489,9.898195,0
421,-1.525662,1.119079,7.430673,1
636,0.457781,-1.189363,9.900053,0
1387,0.099915,-1.507092,9.485693,0
799,0.419091,-1.510598,-8.73739,1
1053,0.066501,-0.468009,9.962149,0
615,0.462196,-1.171129,9.92071,0
294,-0.20751,-1.136393,10.124159,0
940,0.312395,-2.39719,9.662012,0
1192,0.104157,-1.111235,9.676415,0
1878,0.371111,0.237945,9.954238,0
88,0.35,-0.24,9.98,0
41,0.36,-0.26,10.0,0
1779,0.267365,0.289775,10.086915,0
1908,0.366562,0.26137,9.989452,0
131,-0.99,2.27,2.73,1
968,0.326368,-2.361487,9.644016,0
1588,0.004654,-1.03872,3.665025,1
1790,0.362961,0.251765,9.958308,0
1832,0.372519,0.232362,9.971151,0
1380,0.093211,-1.628871,9.774415,0
1741,0.585746,0.222929,10.406436,0
164,-2.41,2.74,3.18,1
724,-1.261007,1.379462,15.68837,1
290,-0.198202,-0.745631,9.393258,0
1526,0.111828,-2.475844,5.460667,1
1950,0.40167,0.256045,9.978181,0
1872,0.37429,0.256974,9.962637,0
985,0.068465,-0.433379,10.039117,0
1342,0.095184,-1.624504,9.829338,0
778,0.545572,1.407273,4.629668,1
839,0.311668,-2.402371,9.670545,0
348,-0.158333,-0.881143,9.975268,0
1919,0.389776,0.247627,9.96958,0
571,0.451882,-1.175831,9.99902,0
943,0.303269,-2.405292,9.661475,0
1863,0.379414,0.244218,9.952198,0
1449,0.309503,0.454266,9.946452,0
1571,0.903955,0.670654,14.566151,1
1298,0.098718,-1.619179,9.824607,0
1474,0.167441,1.778777,10.983936,0
458,0.013781,-0.594049,6.491073,1
375,-0.134573,-0.421284,10.250918,0
1323,0.11541,-1.614468,9.820594,0
333,-0.195319,-0.952931,9.888934,0
1144,0.592057,-0.003869,3.629121,1
1738,0.078827,0.381779,10.007601,0
1656,-0.595256,0.90066,7.095878,1
816,0.286356,-2.428937,9.73494,0
1100,0.357617,0.297982,8.788214,1
1225,0.104272,-1.480938,9.222014,0
1834,0.365729,0.238539,9.955694,0
942,0.29284,-2.384002,9.650711,0
910,0.30867,-2.390821,9.67654,0
1904,0.376704,0.255892,9.945878,0
1111,1.340121,-0.088681,1.14214,1
328,-0.195702,-0.988556,9.865845,0
1458,0.406315,0.749127,10.386948,0
318,-0.193404,-0.87555,9.9526,0
1510,-1.467023,4.861398,10.496639,1
1339,0.097224,-1.637988,9.832469,0
1710,1.185091,-0.158209,10.131103,0
167,0.9,-3.82,10.75,1
12,0.35,-0.14,9.83,0
1901,0.375708,0.234613,9.963902,0
171,-0.11,-1.62,12.32,1
649,0.452648,-1.166101,9.892707,0
1319,0.105163,-1.630509,9.835802,0
260,0.44,-0.69,10.05,0
1290,0.110555,-1.62052,9.84466,0
1898,0.382555,0.244486,9.961823,0
901,0.310882,-2.388159,9.666973,0
672,0.452322,-1.18196,9.91888,0
258,0.47,-0.7,9.98,0
844,0.311045,-2.397803,9.648643,0
867,0.309944,-2.389988,9.668687,0
1178,1.327345,-5.368567,16.823969,1
138,3.7,-3.45,19.75,1
893,0.307942,-2.392535,9.671474,0
1815,0.3761,0.242868,9.927423,0
549,-0.0645,-2.362493,9.661542,0
1828,0.358268,0.237524,9.98679,0
1507,-0.294247,0.844588,17.525433,1
1491,3.820657,0.138854,17.337984,1
1839,0.363842,0.258957,9.959707,0
558,0.452696,-0.959031,9.588281,0
139,-0.46,0.82,2.62,1
